# Salesforceプレゼンテーション - トークスクリプト (OpenAI Whisper使用)
# 生成日時: 2025-05-11 10:48:44
# モデル: medium

##
スライド1: タイトル ＆ はじめに
[00:00.00 → 00:04.16] さて今回はセールスフォースについて深掘りしていきます
[00:04.16 → 00:07.98] あの顧客情報がこうあちこちに散らばってたりとか
[00:07.98 → 00:11.00] 営業の進捗がなんかリアルタイムで見えなかったり
[00:11.54 → 00:15.44] 結局担当者しかわからないみたいなことって結構ありませんか?
[00:15.88 → 00:16.80] ああありますね
[00:17.32 → 00:20.78] 今回はですねお手元の資料にもあるプロジェクト事例
[00:20.78 → 00:23.50] 顧客管理業務改善プロジェクト
[00:23.50 → 00:28.50] これをもとにセールスフォースがどうやってそのあたりの課題を解決していくのか
[00:28.50 → 00:30.36] その革新に迫りたいなと
[00:30.36 → 00:31.02] はい
[00:31.02 → 00:34.44] 目指すところはセールスの魅力ですよね
[00:34.44 → 00:40.56] 特に情報を整理して見える化するっていうそのチクラをつかんでいただければなと
スライド2: なぜ今Salesforceなのか？ 
[00:41.28 → 00:41.64] そうですね
[00:41.64 → 00:47.18] セールスフォースって聞くとなんか多機能でちょっと難しそうなイメージあるかもしれないんですけど
[00:47.18 → 00:48.52] ああわかります
[00:48.52 → 00:53.70] でも基本はすごくシンプルで情報を整理して見える化する
[00:53.70 → 00:55.74] ここが本質なんですよね
[00:55.74 → 01:01.66] 今回の事例はまさに多くの企業さんが抱えているその情報管理の悩みに対して
[01:01.66 → 01:04.36] セールスフォースがいかに効果的かっていうのを示す
[01:04.36 → 01:06.09] まあ良い例かなと思います
スライド3: 私たちが抱えていた「3つの大きな課題」
[01:06.58 → 01:06.90] なるほど
[01:06.90 → 01:09.52] 具体的にどんな課題があって
[01:09.86 → 01:12.66] じゃあどういうふうに解決策を考えたのか
[01:12.66 → 01:14.42] 資料に沿って見ていきましょうか
[01:14.42 → 01:16.18] はいお願いします
[01:16.62 → 01:18.59] えーとまず課題ですね
[01:18.59 → 01:22.14] 資料にも上がってますけど顧客情報の分散
[01:22.14 → 01:22.76] ええ
[01:22.76 → 01:25.66] それから商談進捗の不透明性
[01:25.66 → 01:27.70] うんこれもよく聞きますね
[01:27.70 → 01:30.98] あと営業活動のブラックボックス化
[01:30.98 → 01:33.50] この3つが大きな問題点だったと
[01:33.50 → 01:37.60] まさにこれだとチームで連携するのも大変ですし
[01:37.60 → 01:40.26] 的確な判断もなかなか難しいですよね
[01:40.26 → 01:41.60] おっしゃるとおりです
[01:41.60 → 01:45.12] 情報がバラバラだとまず共有に時間がかかりますし
[01:45.12 → 01:45.28] うん
[01:45.63 → 01:49.90] で進捗が見えないとマネージャーとかがフォローするタイミング逃しちゃったり
[01:49.90 → 01:51.06] ああなるほど
[01:51.06 → 01:54.14] あと活動内容が共有されないと
[01:54.14 → 01:58.38] せっかくの個人の経験とかノウハウが組織の力になりにくい
[01:58.38 → 01:59.46] 埋もれちゃうんですよね
[01:59.46 → 02:02.84] うーん確かにそれはもったいないですね
[02:02.84 → 02:07.54] 多くの企業が直面してる結構典型的な悩みって言えるかもしれないですね
[02:07.54 → 02:08.86] ええそうだと思います
スライド4: Salesforceによる「3つの解決アプローチ」
[02:08.86 → 02:12.72] じゃあこれらの課題に対してどうアプローチしたのか
[02:12.72 → 02:15.40] ここでまあセールスフォースが登場するわけですね
[02:15.83 → 02:16.19] はい
[02:16.19 → 02:18.74] 目指したのは情報の一元管理
[02:18.74 → 02:19.69] まずそこですね
[02:19.69 → 02:21.63] それからプロセスの可視化
[02:21.63 → 02:22.90] 見えるようにすると
[02:22.90 → 02:26.16] そして活動の記録共有基盤の構築
[02:26.16 → 02:26.69] ええ
[02:26.69 → 02:31.36] 要は散らばってたものを集めて見えなかったものも見えるようにして
[02:31.36 → 02:34.06] それを記録共有する仕組みを作るっていう
[02:34.06 → 02:34.97] そういうことです
[02:34.97 → 02:39.08] その3点がやっぱりセールスフォース導入の核になる考え方ですね
スライド5: 具体的な仕組み①：情報の一元管理と見える化
[02:39.08 → 02:42.12] 具体的に言うと中心になる顧客の情報
[02:42.12 → 02:45.06] これを取引先っていう箱にまず入れます
[02:45.06 → 02:45.56] はい
[02:45.56 → 02:48.42] でそれに関連する商談の情報とか
[02:48.42 → 02:52.28] あるいは日々の電話とか訪問といった活動の情報
[02:52.28 → 02:56.24] これを全部取引先に紐付けて一元管理するんです
[02:56.24 → 02:57.44] なるほどなるほど
[02:57.44 → 02:59.22] 情報がつながるわけですね
[02:59.22 → 03:00.20] そうなんです
[03:00.20 → 03:04.84] で商談の進捗なんかはフェーズ管理っていう機能で見えるかできる
